"","x","y","temperature"
"76",-122.127915555556,37.4083644871795,57.2132458053948
"77",-122.125132777778,37.4083644871795,58.4586688771669
"78",-122.12235,37.4083644871795,58.5051966053925
"79",-122.119567222222,37.4083644871795,58.6260041978458
"80",-122.116784444444,37.4083644871795,58.9851269015908
"81",-122.114001666667,37.4083644871795,59.0694610781065
"82",-122.111218888889,37.4083644871795,59.0612147374486
"83",-122.178005555556,37.4106971794872,54.7769494379027
"84",-122.175222777778,37.4106971794872,55.6149024446894
"85",-122.17244,37.4106971794872,55.7753191397603
"86",-122.169657222222,37.4106971794872,56.5825665166121
"87",-122.166874444444,37.4106971794872,57.4703569297271
"88",-122.164091666667,37.4106971794872,57.452768312527
"89",-122.161308888889,37.4106971794872,56.9973751208051
"90",-122.158526111111,37.4106971794872,57.0106310692222
"91",-122.155743333333,37.4106971794872,57.0238870176393
"92",-122.152960555556,37.4106971794872,57.0371429660563
"93",-122.150177777778,37.4106971794872,57.0503989144734
"94",-122.147395,37.4106971794872,57.0850817101891
"95",-122.144612222222,37.4106971794872,57.3990493702586
"96",-122.141829444444,37.4106971794872,56.6806149539698
"97",-122.139046666667,37.4106971794872,56.0392925867272
"98",-122.136263888889,37.4106971794872,56.2247215317748
"99",-122.133481111111,37.4106971794872,56.4687302786042
"100",-122.130698333333,37.4106971794872,57.1297238116822
"101",-122.127915555556,37.4106971794872,57.5235931492934
"102",-122.125132777778,37.4106971794872,58.7304778314501
"103",-122.12235,37.4106971794872,59.2243261423428
"104",-122.119567222222,37.4106971794872,59.2598641886307
"105",-122.116784444444,37.4106971794872,59.2954022349186
"106",-122.114001666667,37.4106971794872,59.3309402812065
"107",-122.111218888889,37.4106971794872,59.4998370092471
"108",-122.108436111111,37.4106971794872,58.4554006101025
"109",-122.183571111111,37.4130298717949,54.5128292954796
"110",-122.180788333333,37.4130298717949,55.6465077313769
"111",-122.178005555556,37.4130298717949,55.831909769451
"112",-122.175222777778,37.4130298717949,56.2524819146711
"113",-122.17244,37.4130298717949,57.1402723277897
"114",-122.169657222222,37.4130298717949,57.3853526843704
"115",-122.166874444444,37.4130298717949,56.9296002680137
"116",-122.164091666667,37.4130298717949,56.9428562164308
"117",-122.161308888889,37.4130298717949,56.956112164848
"118",-122.158526111111,37.4130298717949,56.9693681132651
"119",-122.155743333333,37.4130298717949,56.9826240616821
"120",-122.152960555556,37.4130298717949,56.9958800100992
"121",-122.150177777778,37.4130298717949,56.8564725646211
"122",-122.147395,37.4130298717949,57.6271323086949
"123",-122.144612222222,37.4130298717949,58.4242095368472
"124",-122.141829444444,37.4130298717949,57.2980155295809
"125",-122.139046666667,37.4130298717949,56.2926055576945
"126",-122.136263888889,37.4130298717949,56.5189833251434
"127",-122.133481111111,37.4130298717949,56.948475825895
"128",-122.130698333333,37.4130298717949,57.8059855366937
"129",-122.127915555556,37.4130298717949,58.1856750791048
"130",-122.125132777778,37.4130298717949,58.7889012479209
"131",-122.12235,37.4130298717949,58.9003929567589
"132",-122.119567222222,37.4130298717949,58.5410898031732
"133",-122.116784444444,37.4130298717949,58.6573714517822
"134",-122.114001666667,37.4130298717949,58.6475971579348
"135",-122.111218888889,37.4130298717949,58.3630709274366
"136",-122.108436111111,37.4130298717949,57.7207532277152
"137",-122.189136666667,37.4153625641026,54.2487091530675
"138",-122.186353888889,37.4153625641026,55.3823875889611
"139",-122.183571111111,37.4153625641026,55.8885003991419
"140",-122.180788333333,37.4153625641026,56.0489170942128
"141",-122.178005555556,37.4153625641026,56.8101877258578
"142",-122.175222777778,37.4153625641026,57.3156784373496
"143",-122.17244,37.4153625641026,56.8618254152225
"144",-122.169657222222,37.4153625641026,56.8750813636395
"145",-122.166874444444,37.4153625641026,56.8883373120566
"146",-122.164091666667,37.4153625641026,56.9015932604736
"147",-122.161308888889,37.4153625641026,56.9148492088909
"148",-122.158526111111,37.4153625641026,56.928105157308
"149",-122.155743333333,37.4153625641026,56.941361105725
"150",-122.152960555556,37.4153625641026,56.9546170541421
"151",-122.150177777778,37.4153625641026,57.3548012685023
"152",-122.147395,37.4153625641026,58.1806423816015
"153",-122.144612222222,37.4153625641026,58.7451401536528
"154",-122.141829444444,37.4153625641026,57.8694306430334
"155",-122.139046666667,37.4153625641026,57.1059039563843
"156",-122.136263888889,37.4153625641026,56.7631863279294
"157",-122.133481111111,37.4153625641026,57.5427110174569
"158",-122.130698333333,37.4153625641026,58.4526625107792
"159",-122.127915555556,37.4153625641026,58.9146231811283
"160",-122.125132777778,37.4153625641026,58.2830591469574
"161",-122.12235,37.4153625641026,58.116467594482
"162",-122.119567222222,37.4153625641026,58.5498123711477
"163",-122.116784444444,37.4153625641026,58.5046581991846
"164",-122.114001666667,37.4153625641026,58.1646532311152
"165",-122.111218888889,37.4153625641026,57.9235339078105
"166",-122.108436111111,37.4153625641026,57.8556261639678
"167",-122.194702222222,37.4176952564102,53.9845890106517
"168",-122.191919444444,37.4176952564102,55.1182674465417
"169",-122.189136666667,37.4176952564102,55.9450910288326
"170",-122.186353888889,37.4176952564102,56.1055077239035
"171",-122.183571111111,37.4176952564102,56.4801031239167
"172",-122.180788333333,37.4176952564102,57.1284601393818
"173",-122.178005555556,37.4176952564102,56.7940505624313
"174",-122.175222777778,37.4176952564102,56.8073065108483
"175",-122.17244,37.4176952564102,56.8205624592656
"176",-122.169657222222,37.4176952564102,56.8338184076827
"177",-122.166874444444,37.4176952564102,56.8470743560997
"178",-122.164091666667,37.4176952564102,56.8603303045168
"179",-122.161308888889,37.4176952564102,56.8735862529338
"180",-122.158526111111,37.4176952564102,56.8868422013509
"181",-122.155743333333,37.4176952564102,56.9000981497679
